"","Birth.weight","Gestational_Age","PU","PET","PriorPretermBirth","PP","CumulativeMNPs","PC","PVC","N6","PMMA","PE","N66","ABS","SBR"
"Birth.weight",1,0.759088428527055,-0.347727006546673,-0.260178383202515,-0.171347953619028,-0.0457793348791618,-0.0903979469153767,-0.136796435394905,-0.115773576926614,-0.0631246647081985,-0.047072157984776,-0.0362495183748362,-0.0397351096108519,0.0854819214155374,0.0988683332712459
"Gestational_Age",0.759088428527055,1,-0.388291301235584,-0.370102273649937,-0.232654263684659,-0.0852793288836134,-0.114996291874322,-0.163328397554759,-0.132999410229549,-0.062348674251165,-0.0610907188621289,-0.047240067614469,-0.0628993205681906,0.209133017768325,0.112497431156816
"PU",-0.347727006546673,-0.388291301235584,1,0.761929174165106,0.11939871241025,0.38229795286898,0.322686690225584,0.294279077338258,0.288776848793286,0.287387046558215,0.266647647281365,0.221757763320289,0.177974931623243,-0.16536181592596,-0.261599825970284
"PET",-0.260178383202515,-0.370102273649937,0.761929174165106,1,0.123723842380319,0.54750752632884,0.560060788701455,0.464530036098996,0.518553523731251,0.476451106742165,0.538839858843084,0.406815348643939,0.413141361581255,-0.0339315988330615,-0.101036115729761
"PriorPretermBirth",-0.171347953619028,-0.232654263684659,0.11939871241025,0.123723842380319,1,0.124208400509746,0.179340347680088,0.207713918147637,0.121397446823021,0.12751629496898,0.132566884138899,0.170038240339681,0.162839130015392,0.0754647334558107,0.171964296154368
"PP",-0.0457793348791618,-0.0852793288836134,0.38229795286898,0.54750752632884,0.124208400509746,1,0.734376497469419,0.56315803084768,0.747176431540516,0.693265897208492,0.719289377880041,0.710414353847394,0.524618733681057,0.213707503214921,0.500330869433597
"CumulativeMNPs",-0.0903979469153767,-0.114996291874322,0.322686690225584,0.560060788701455,0.179340347680088,0.734376497469419,1,0.793586153076173,0.927293704856885,0.885815466481434,0.932088390525865,0.931372062590316,0.807862861962677,0.537248034507423,0.43832213448055
"PC",-0.136796435394905,-0.163328397554759,0.294279077338258,0.464530036098996,0.207713918147637,0.56315803084768,0.793586153076173,1,0.860258254176479,0.733612835604289,0.79314247793648,0.7363882187312,0.760293725463443,0.615704595236649,0.466550241192408
"PVC",-0.115773576926614,-0.132999410229549,0.288776848793286,0.518553523731251,0.121397446823021,0.747176431540516,0.927293704856885,0.860258254176479,1,0.865056661029539,0.949095162080574,0.847800730192347,0.809239620047099,0.59369010228407,0.521009625262759
"N6",-0.0631246647081985,-0.062348674251165,0.287387046558215,0.476451106742165,0.12751629496898,0.693265897208492,0.885815466481434,0.733612835604289,0.865056661029539,1,0.901788649148159,0.855870778081585,0.750975260327836,0.581017060582811,0.326853304721562
"PMMA",-0.047072157984776,-0.0610907188621289,0.266647647281365,0.538839858843084,0.132566884138899,0.719289377880041,0.932088390525865,0.79314247793648,0.949095162080574,0.901788649148159,1,0.858326879613093,0.845738313931493,0.582453680694695,0.440755648447336
"PE",-0.0362495183748362,-0.047240067614469,0.221757763320289,0.406815348643939,0.170038240339681,0.710414353847394,0.931372062590316,0.7363882187312,0.847800730192347,0.855870778081585,0.858326879613093,1,0.683428426925448,0.522669760895879,0.365714870471784
"N66",-0.0397351096108519,-0.0628993205681906,0.177974931623243,0.413141361581255,0.162839130015392,0.524618733681057,0.807862861962677,0.760293725463443,0.809239620047099,0.750975260327836,0.845738313931493,0.683428426925448,1,0.570615246867958,0.525387778391084
"ABS",0.0854819214155374,0.209133017768325,-0.16536181592596,-0.0339315988330615,0.0754647334558107,0.213707503214921,0.537248034507423,0.615704595236649,0.59369010228407,0.581017060582811,0.582453680694695,0.522669760895879,0.570615246867958,1,0.427722853596674
"SBR",0.0988683332712459,0.112497431156816,-0.261599825970284,-0.101036115729761,0.171964296154368,0.500330869433597,0.43832213448055,0.466550241192408,0.521009625262759,0.326853304721562,0.440755648447336,0.365714870471784,0.525387778391084,0.427722853596674,1
