"","xName","yName","x","y","corr","p.value","q.value"
"1","Birth.weight","Birth.weight",1,15,1,0,0
"2","Birth.weight","Gestational_Age",1,14,0.759088428527055,1.36877679925338e-35,1.39615233523845e-33
"3","Birth.weight","PU",1,13,-0.347727006546673,0.00111142205314187,0.0700195893479381
"4","Birth.weight","PET",1,12,-0.260178383202515,0.0504937632298347,1
"5","Birth.weight","PriorPretermBirth",1,11,-0.171347953619028,0.00844420965737072,0.447543111840648
"6","Birth.weight","PP",1,10,-0.0457793348791618,0.189959540518425,1
"7","Birth.weight","CumulativeMNPs",1,9,-0.0903979469153767,0.10467374227888,1
"8","Birth.weight","PC",1,8,-0.136796435394905,0.0479040677193527,1
"9","Birth.weight","PVC",1,7,-0.115773576926614,0.0688605087744617,1
"10","Birth.weight","N6",1,6,-0.0631246647081985,0.354375369801232,1
"11","Birth.weight","PMMA",1,5,-0.047072157984776,0.174555702125368,1
"12","Birth.weight","PE",1,4,-0.0362495183748362,0.128930015968821,1
"13","Birth.weight","N66",1,3,-0.0397351096108519,0.637316023655522,1
"14","Birth.weight","ABS",1,2,0.0854819214155374,0.412020610156794,1
"15","Birth.weight","SBR",1,1,0.0988683332712459,0.61731558995434,1
"16","Gestational_Age","Gestational_Age",2,14,1,0,0
"17","Gestational_Age","PU",2,13,-0.388291301235584,0.00130525304553148,0.0809256888229517
"18","Gestational_Age","PET",2,12,-0.370102273649937,0.000657710332583174,0.0427511716179063
"19","Gestational_Age","PriorPretermBirth",2,11,-0.232654263684659,0.00167876169209157,0.100725701525494
"20","Gestational_Age","PP",2,10,-0.0852793288836134,0.367358932949498,1
"21","Gestational_Age","CumulativeMNPs",2,9,-0.114996291874322,0.313016375936691,1
"22","Gestational_Age","PC",2,8,-0.163328397554759,0.23953984151662,1
"23","Gestational_Age","PVC",2,7,-0.132999410229549,0.184662143230007,1
"24","Gestational_Age","N6",2,6,-0.062348674251165,0.52706849900281,1
"25","Gestational_Age","PMMA",2,5,-0.0610907188621289,0.717032409210296,1
"26","Gestational_Age","PE",2,4,-0.047240067614469,0.354091401609244,1
"27","Gestational_Age","N66",2,3,-0.0628993205681906,0.832871185003353,1
"28","Gestational_Age","ABS",2,2,0.209133017768325,0.584848151571148,1
"29","Gestational_Age","SBR",2,1,0.112497431156816,0.353960836045754,1
"30","PU","PU",3,13,1,0,0
"31","PU","PET",3,12,0.761929174165106,1.5638617938955e-25,1.51694594007863e-23
"32","PU","PriorPretermBirth",3,11,0.11939871241025,0.326432950493163,1
"33","PU","PP",3,10,0.38229795286898,0.19578306510007,1
"34","PU","CumulativeMNPs",3,9,0.322686690225584,0.728582850590259,1
"35","PU","PC",3,8,0.294279077338258,2.98063126954524e-12,2.53353657911346e-10
"36","PU","PVC",3,7,0.288776848793286,0.845849839321403,1
"37","PU","N6",3,6,0.287387046558215,0.000422554232368198,0.0278885793363011
"38","PU","PMMA",3,5,0.266647647281365,0.000893616092099608,0.0571914298943749
"39","PU","PE",3,4,0.221757763320289,0.28917168720254,1
"40","PU","N66",3,3,0.177974931623243,0.0402036047725081,1
"41","PU","ABS",3,2,-0.16536181592596,0.00408170623587878,0.228575549209212
"42","PU","SBR",3,1,-0.261599825970284,0.00232395348316906,0.134789302023805
"43","PET","PET",4,12,1,0,0
"44","PET","PriorPretermBirth",4,11,0.123723842380319,0.507438392959177,1
"45","PET","PP",4,10,0.54750752632884,0.0599262155816492,1
"46","PET","CumulativeMNPs",4,9,0.560060788701455,0.121591683979004,1
"47","PET","PC",4,8,0.464530036098996,0.00239899060475774,0.136742464471191
"48","PET","PVC",4,7,0.518553523731251,0.404538287873024,1
"49","PET","N6",4,6,0.476451106742165,0.0187580507378726,0.956660587631503
"50","PET","PMMA",4,5,0.538839858843084,0.0202430138734085,1
"51","PET","PE",4,4,0.406815348643939,0.690051974928693,1
"52","PET","N66",4,3,0.413141361581255,0.135175534977957,1
"53","PET","ABS",4,2,-0.0339315988330615,0.177003327315864,1
"54","PET","SBR",4,1,-0.101036115729761,0.00488838850180534,0.263972979097488
"55","PriorPretermBirth","PriorPretermBirth",5,11,1,0,0
"56","PriorPretermBirth","PP",5,10,0.124208400509746,0.134669821982552,1
"57","PriorPretermBirth","CumulativeMNPs",5,9,0.179340347680088,0.0540940552807989,1
"58","PriorPretermBirth","PC",5,8,0.207713918147637,0.545440359947786,1
"59","PriorPretermBirth","PVC",5,7,0.121397446823021,0.0660930844285636,1
"60","PriorPretermBirth","N6",5,6,0.12751629496898,0.867443530498901,1
"61","PriorPretermBirth","PMMA",5,5,0.132566884138899,0.506152371677916,1
"62","PriorPretermBirth","PE",5,4,0.170038240339681,0.128347759003977,1
"63","PriorPretermBirth","N66",5,3,0.162839130015392,0.231714213073272,1
"64","PriorPretermBirth","ABS",5,2,0.0754647334558107,0.94372304047502,1
"65","PriorPretermBirth","SBR",5,1,0.171964296154368,0.00421485808701611,0.231817194785886
"66","PP","PP",6,10,1,0,0
"67","PP","CumulativeMNPs",6,9,0.734376497469419,9.86591147497045e-24,9.37261590122193e-22
"68","PP","PC",6,8,0.56315803084768,0.00179735266018473,0.106043806950899
"69","PP","PVC",6,7,0.747176431540516,3.59304594107618e-23,3.37746318461161e-21
"70","PP","N6",6,6,0.693265897208492,0.417313772381383,1
"71","PP","PMMA",6,5,0.719289377880041,1.35029456788647e-09,1.10724154566691e-07
"72","PP","PE",6,4,0.710414353847394,1.5010130071705e-15,1.30588131623834e-13
"73","PP","N66",6,3,0.524618733681057,0.00143638926518778,0.0876197451764547
"74","PP","ABS",6,2,0.213707503214921,0.945747092842217,1
"75","PP","SBR",6,1,0.500330869433597,3.30861190595456e-10,2.77923400100183e-08
"76","CumulativeMNPs","CumulativeMNPs",7,9,1,0,0
"77","CumulativeMNPs","PC",7,8,0.793586153076173,2.1507933952307e-05,0.00152706331061379
"78","CumulativeMNPs","PVC",7,7,0.927293704856885,1.57957513720551e-47,1.64275814269373e-45
"79","CumulativeMNPs","N6",7,6,0.885815466481434,1.6132284506018e-07,1.22605362245737e-05
"80","CumulativeMNPs","PMMA",7,5,0.932088390525865,1.03378661972128e-30,1.03378661972128e-28
"81","CumulativeMNPs","PE",7,4,0.931372062590316,4.01455421587986e-79,4.21528192667385e-77
"82","CumulativeMNPs","N66",7,3,0.807862861962677,1.15381739279993e-19,1.04997382744793e-17
"83","CumulativeMNPs","ABS",7,2,0.537248034507423,2.15226605700822e-07,1.61419954275617e-05
"84","CumulativeMNPs","SBR",7,1,0.43832213448055,1.15413956289377e-07,8.88687463428205e-06
"85","PC","PC",8,8,1,0,0
"86","PC","PVC",8,7,0.860258254176479,3.76697701713999e-06,0.000274989322251219
"87","PC","N6",8,6,0.733612835604289,0.000202471547904406,0.0135655937095952
"88","PC","PMMA",8,5,0.79314247793648,2.25457638105949e-25,2.16439332581711e-23
"89","PC","PE",8,4,0.7363882187312,0.0256932545072911,1
"90","PC","N66",8,3,0.760293725463443,2.11969570796146e-15,1.82293830884685e-13
"91","PC","ABS",8,2,0.615704595236649,1.26927714479608e-17,1.12965665886851e-15
"92","PC","SBR",8,1,0.466550241192408,0.0496921373525236,1
"93","PVC","PVC",9,7,1,0,0
"94","PVC","N6",9,6,0.865056661029539,0.000179158496650012,0.0121827777722008
"95","PVC","PMMA",9,5,0.949095162080574,1.90805723619319e-35,1.92713780855512e-33
"96","PVC","PE",9,4,0.847800730192347,9.48159638415625e-26,9.29196445647312e-24
"97","PVC","N66",9,3,0.809239620047099,1.22561047968517e-22,1.13981774610721e-20
"98","PVC","ABS",9,2,0.59369010228407,1.0327016748703e-07,8.05507306398835e-06
"99","PVC","SBR",9,1,0.521009625262759,8.25745181166007e-16,7.26655759426086e-14
"100","N6","N6",10,6,1,0,0
"101","N6","PMMA",10,5,0.901788649148159,3.55120085420764e-09,2.87647269190819e-07
"102","N6","PE",10,4,0.855870778081585,4.13482585635852e-05,0.00289437809945096
"103","N6","N66",10,3,0.750975260327836,1.81337029791052e-06,0.000134189402045378
"104","N6","ABS",10,2,0.581017060582811,5.16304429816074e-08,4.07880499554698e-06
"105","N6","SBR",10,1,0.326853304721562,0.217209125091006,1
"106","PMMA","PMMA",11,5,1,0,0
"107","PMMA","PE",11,4,0.858326879613093,9.16179029107434e-18,8.2456112619669e-16
"108","PMMA","N66",11,3,0.845738313931493,2.53189410131261e-45,2.60785092435199e-43
"109","PMMA","ABS",11,2,0.582453680694695,7.16703547090068e-28,7.09536511619167e-26
"110","PMMA","SBR",11,1,0.440755648447336,0.000137151950152004,0.00946348456048829
"111","PE","PE",12,4,1,0,0
"112","PE","N66",12,3,0.683428426925448,3.46441298183841e-10,2.87546277492588e-08
"113","PE","ABS",12,2,0.522669760895879,1.29716723314601e-05,0.000933960407865125
"114","PE","SBR",12,1,0.365714870471784,0.0172485261368113,0.896923359114188
"115","N66","N66",13,3,1,0,0
"116","N66","ABS",13,2,0.570615246867958,6.51184427104461e-21,5.99089672936104e-19
"117","N66","SBR",13,1,0.525387778391084,1.2399693093864e-08,9.91975447509118e-07
"118","ABS","ABS",14,2,1,0,0
"119","ABS","SBR",14,1,0.427722853596674,0.177936371205362,1
"120","SBR","SBR",15,1,1,0,0
